id,FT_variance,FT_Manzano.Piedras_2014,FT16_1001GC_2016,FT10_1001GC_2016,FT_Vidigal_2016,FT_Kooke_2016,FT_Aranzana_2005,FT10_Atwell_2010,FT16_Atwell_2010,FT_mhi,FT_mhp,FT_mli,FT_mlp,FT_thi,FT_thp,FT_tli,FT_tlp
88,2370.25114780963,61.25,50.5,83.6396003204511,109.465596851505,110.793098484715,119.098738028083,120.692644444139,158.664563854911,158.378702163493,161.148022281578,165.263095833342,19.27333333403,37.572,52.215,56.52,130.020453610921
108,2448.65725704654,70,52.25,84.5766430067567,110.163900227901,110.676077542754,115.713743324744,122.590116666832,159.088176320825,158.852166081646,162.552257314552,165.649511508911,18.37000000079,33.145,47.874167,56.16,137.271836647116
139,2439.97055119032,68.75,52.75,91.3628754153454,111.622226582174,112.979571924459,119.911299546526,126.024715872293,159.60826943185,159.911104233836,163.159179228857,166.60997222325,19.23833333383,36.283,49.6725,59.465,141.293619191919
159,2425.59676315174,72,56.75,95.3016382956045,107,114.75,126.5,133,160.2857143,162.75,161.4,167,18.8850000009,39.293,50.53,59.695,141.994632198927
265,2438.53611623121,63.5,47.25,60.2872976547394,100.1666667,98.5,112,113,157.1428571,155,159.1666667,168,16.71833333392,32.376,48.3575,55.585,122.720168242291
350,2357.00202823679,68.5,51.5,69.1412174662809,107.915582371581,110.137207583233,114.913159139808,117.499729822396,157.946893492673,155.39901658955,160.745178050727,165.476268799629,17.85000000069,35.973,51.0125,55.235,127.858054728066
351,2395.38818508183,69.25,65.33333333,93.76067407595,109.648098038734,111.281811404942,118.977070995308,127.218574673575,158.897149479484,160.35699390749,163.232608215271,167.042073325199,17.7050000005,34.706,49.164167,57.595,138.93929178837
403,2290.28232934215,63.5,54.25,91.4283895795094,105.4285714,102.3333333,105.2,111.75,159.6666667,159.1428571,157.6,166.5,19.1700000009,39.905,50.84,59.04,140.374915910149
410,2360.59515314555,76,65.25,99.5046667123308,109.610957882409,111.171055557315,117.224565983238,124.439142856143,158.581114307087,158.987637329752,162.559065689214,167.147968063129,17.4116666673,33.424,47.499167,56.33,137.081574333173
424,2044.4454244193,83.25,68.25,119.297192286874,112.287155187295,114.450088594279,123.754867010966,130.9774166685,160.342858121179,162.780800562539,164.506254897009,167.647888889917,23.8366666672,56.187,60.6725,65.53,143.505673417061
428,2375.09860759108,75.75,59,83.0060507554217,109.702005023325,110.650492552063,116.981810596759,124.28826024717,159.067785719895,159.009098348553,163.095899170606,165.7163397994,18.48500000049,33.116,50.844167,56.745,136.56230457678
430,2091.61352303053,92.3333333333,55,99.7157299077356,112.586930243995,115.227989469939,120.840269005062,127.638397907204,160.206699760093,161.438406650349,163.159175217481,166.823960318752,22.5,56.772,58.285,63.695,142.348143433406
470,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
476,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
484,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
504,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
506,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
531,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
544,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
546,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
628,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
630,2334.85133823764,73.5,58.75,81.0797296749462,110.781901480087,112.396138660975,118.356791390594,129.569038385517,159.381838797373,159.473886182309,163.231750641817,167.003767265011,20.3200000005,38.716,52.6475,60.85,138.372248608878
680,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
681,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
685,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
687,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
728,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
742,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
763,2645.91690594623,65.75,39,73.8489334405974,109.5,105.6,109.4,121.80883772018,164,164.5,165,169.5,17.24333333409,37.454,51.9325,56.395,133.990811851271
765,2527.28543577491,56.75,36.66666667,71.8182336784183,111,115.25,105.6,106.3333333,159.8571429,158.4,163.5714286,165.2,18.42000000052,37.511,52.465,55.375,130.087960762565
766,2204.47614779473,63.5,41.75,60.7100895397672,100.5714286,98,102.5,117.374605335322,152.4285714,143.4,150.6666667,160,16.40666666722,33.376,48.391667,53.985,124.114386964286
768,2079.10041591343,76.5,78.25,84.1752907557373,105.6,107.2,108.6,120.3333333,159.2857143,155.6666667,161.4,166,20.61500000047,40.879,54.9,59.64,134.814934659091
772,2246.73989150665,67.5,43.5,73.0327277285894,100.8333333,108.25,107.6666667,116.5,157.4285714,150.3333333,154.7142857,161.6666667,17.86666666729,36.107,52.7675,55.195,130.125757604428
801,1737.05689514325,94.75,88.25,171.515579117045,119.1428571,128.4,122.75,128,163.2857143,164,163.7142857,166.6,28.3983333342,89.053,81.2175,80.61,156.895716559212
853,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
854,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
867,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
868,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
870,2287.89460944555,72.5,62.25,88.5478192674314,110.987057382214,112.51582928259,119.930095416316,128.86908838492,159.622474063609,160.128387837047,163.760128450018,166.595210684569,20.8716666673,39.425,53.0975,61.29,137.524990969989
915,2527.32076355481,63.75,43.5,75.2238614827186,108.2857143,114.3333333,118.25,134.3333333,162.5,149.75,164.8571429,167,18.9000000006,37.409,51.0225,57.935,135.556493237014
932,2143.47595221497,78,68.75,102.833515658795,110.6666667,114.3333333,120,128.6666667,162.3333333,160.4,162.3333333,172,22.5366666673,46.923,60.3075,63.88,140.802199025544
991,1657.01782309695,110.5,106.75,193.936997674883,117.608873392571,116.650894247732,126.881234811135,136.101232906402,161.921519603028,161.518998054666,165.421557451048,167.60595742808,30.1983333338,121.512,88.19,85.14,162.277469130239
992,1615.43166063848,116,100,194.475185682624,120.089722976912,119.040485731697,129.032928617285,135.788632155283,162.743816839699,164.888775818802,166.699423417842,167.66017806303,32.2066666671,158.884,105.73,91.41,166.893620926776
997,1715.59676305478,101.25,87.5,188.447320414756,117.879640410551,118.354165496922,127.093072499344,136.497534437551,162.537078633481,163.030152828888,165.879269968047,168.443667559957,30.9866666671,127.633,87.2425,86.42,162.357431154048
1002,1760.66870718572,102.75,86.25,186.062976182181,118.087311662831,117.85905676701,126.032034256107,133.02367626809,162.075795921431,162.960442786946,165.824579024027,167.285215770966,30.2966666674,99.837,83.4,83.87,160.194480464307
1006,2039.27898424372,80.6551575653731,79.8109749548357,102.582683477945,112.267618770027,112.675284270474,120.316040557285,130.028082432156,160.310256285714,160.233316944128,164.046033147861,167.1750147271,22.8083333341,46.23,61.8575,64.13,141.260543246514
1061,1687.55533442797,97.75,94.75,188.210521128028,119.661201772312,119.520342016303,128.435000788998,136.343243267727,163.352033317174,165.040464783474,165.272876500322,167.472703703722,31.8850000003,160.832,98.98,89.96,165.527628331468
1062,1784.30111914507,94,68.25,159.564633038958,116.089541848695,117.640198955917,125.599609805334,135.026891635612,161.79821189392,164.04061626509,166.097411647317,166.985252136974,27.9233333339,90.874,83.94,79.85,156.212812552547
1063,1916.00667290135,84,64.25,139.992592709656,114.685717383208,115.741300198267,124.950339610697,134.687301448744,160.974718243918,162.354156001703,165.330085481245,167.001333334133,26.8050000006,74.294,70.8275,73.2,152.006450556899
1066,1638.64361874337,128,95.1347441120458,186.876721881259,116.086441913353,115.553009710119,123.180164668021,134.274732503941,161.317266611077,160.93651480893,164.374195474762,167.730703579632,30.3850000009,108.232,84.16,84.26,157.635682670945
1070,1671.72813620645,95.1510740475834,91.3894793977238,182.743243831305,117.865688217479,117.85349913003,125.264569849614,134.003693224136,161.888004651764,163.601389564906,165.929360356926,166.686713855485,30.3133333338,121.212,88.2,83.71,160.175890205508
1158,1694.87232983358,98.75,88,185.98180136375,117.739854611389,117.355244763598,127.351545018951,133.299839689882,162.323824435445,164.191171166163,165.466029840794,167.464891204656,30.9383333337,129.63,90.31,85.24,163.537573807658
1166,1662.18375457855,101.53958547966,98.6042276050743,191.101829079731,118.353466358577,117.151993573989,127.226908109121,135.286169415339,162.124674293008,162.980056531205,165.552642493043,167.519087037272,31.2366666671,135.852,92.46,85.05,163.110930796906
1254,1669.76211529867,92,106,188.215802731361,119.358781874749,118.2425199737,129.248214942887,136.235113637727,162.925665244038,164.687983722953,166.006415323204,168.135975072175,31.0083333339,151.985,98.9125,87.18,165.032333331468
1257,1682.58780953332,94.6666666667,93.25,184.958020835976,117.920519601017,117.000129188777,127.851259966393,135.349656187191,162.581537314592,164.430146081257,165.586187178214,167.867523378785,30.8216666671,127.131,90.6,85.75,163.603467974325
1313,1696.30072688856,98.9050905371777,103.000339180058,194.881049829777,118.396162325317,117.753333355564,128.425327906562,135.86690476396,163.148533255294,164.563277181634,165.69120942948,168.166953704239,31.3550000004,153.064,99.3275,88.4,165.731866664801
1317,1685.2641289269,104.25,102,198.2535522245,118.881616408686,117.304069963939,128.638636241357,136.255675807465,162.804932062094,164.71016233602,165.740646131448,168.019287037156,32.0150000005,156.993,103.6175,90.34,166.431603331468
1552,1494.06509841004,104,115.3333333,177.68553866173,114.1428571,119.2,114,132.5,163.7142857,163,164.2,166,30.4783333338,142.875,101.0725,86.32,163.74568228467
1612,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
1622,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
1651,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
1652,2056.81478832508,80.1750621455258,78.3863311185436,101.216137621183,112.078224289953,112.646743977204,120.059541625589,129.811028861644,160.337161047714,160.243516944128,164.061963305985,167.367916436831,22.6833333339,46.051,60.735,63.84,140.597346817942
