paper	phenotype	numaccessions	phenotypecategory	stressstrategy	1	2	3	4	5	6
1001_Consortium_Cell_2016_PID_27293186	FT10	1058	Reproduction	Escape	0.9750712	0.9251553	0.7799477	0	0.03515066	2
1001_Consortium_Cell_2016_PID_27293186	FT16	1021	Reproduction	Escape	0.9753761	0.9282558	0.7799163	0	0.02796793	2
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	DSDS10	177	Development	Escape	0.9934941	0.9213478	0.9996215	0.9963115	0.0009926758	122
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	DSDS50	177	Development	Escape	0.995024	0.9188324	0.9960792	0.9374478	0.0002510181	33
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	DSDS90	177	Development	Escape	0.9855317	0.7766239	0.9972406	0.9520976	0.0008221009	5
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	FT	176	Reproduction	Escape	0.9855415	0.8546549	0.9922298	0.9374022	0.0006996952	64
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	GAS	177	Development	Escape	0.9964646	0.9183223	0.9988914	0.9709708	0.0003697729	33
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	SS	177	Development	Escape	0.9701532	0.7338357	0.9988375	0.9881156	0.0009002132	102
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	t10	170	Development	Escape	0.9994956	0.9950205	0.9610252	0.5971939	0.001192259	134
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	t50	170	Development	Escape	0.9706719	0.646023	0.9997261	0	0.0004192333	5
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	U8416	170	Development	Avoidance	0.9671569	0.5933763	0.9871409	0	0.001798327	1
Balasubramanian_Sanchez-Bermejo_PlantPhys_2015_PID_26195568	HL23_mm_	93	Development	Avoidance	0.9959635	0.9803363	0.9873282	0	0.003938526	277
Balasubramanian_Sanchez-Bermejo_PlantPhys_2015_PID_26195568	HL27_mm_	93	Development	Avoidance	0.9999959	0.9999905	0.8720467	0.7272512	0.0007081267	51
Balasubramanian_Sanchez-Bermejo_PlantPhys_2015_PID_26195568	SensHL	93	Development	Avoidance	0.9836613	0.9085486	0.957555	0	0.0002082071	3
Balasubramanian_Sanchez-Bermejo_PlantPhys_2015_PID_26195568	VarTemp	93	Development	Avoidance	0.9999998	0.9999996	0.6667267	0	0.001050301	2
Bergelson_Brachi_PNAS_2015_PID_25775585	G2H3B	595	Metabolite	Tolerance	0.9807804	0.8226768	0.9984077	0.9789132	0.001434604	110
Bergelson_Brachi_PNAS_2015_PID_25775585	G2H4P	595	Metabolite	Tolerance	0.9908767	0.9237723	0.9987191	0.9887796	0.001432589	107
Bergelson_Brachi_PNAS_2015_PID_25775585	G2P	595	Metabolite	Tolerance	0.9633518	0.83263	0.9988844	0.9948578	0.0002629463	13
Bergelson_Brachi_PNAS_2015_PID_25775585	G3B	595	Metabolite	Tolerance	0.9563474	0.7969996	0.9988914	0.9928844	0.000796191	37
Bergelson_Brachi_PNAS_2015_PID_25775585	G3BOP	595	Metabolite	Tolerance	0.9594027	0.5976111	0.9919996	0.8459997	0.000559129	12
Bergelson_Brachi_PNAS_2015_PID_25775585	G3HP	595	Metabolite	Tolerance	0.9961981	0.9796738	0.9997183	0.9985448	0.001072443	79
Bergelson_Brachi_PNAS_2015_PID_25775585	G3MSP	595	Metabolite	Tolerance	0.9907406	0.8175143	0.99907	0.9805756	0.0003199047	24
Bergelson_Brachi_PNAS_2015_PID_25775585	G3MTP	595	Metabolite	Tolerance	0.9748172	0.7457788	0.9975508	0.9736217	0.0003369339	26
Bergelson_Brachi_PNAS_2015_PID_25775585	G4BOB	595	Metabolite	Tolerance	0.6867091	0.2688741	0.9951309	0	0.002020419	1
Bergelson_Brachi_PNAS_2015_PID_25775585	G4HB	595	Metabolite	Tolerance	0.9968137	0.9486282	0.9994138	0.9914461	0.002445497	140
Bergelson_Brachi_PNAS_2015_PID_25775585	G4MSB	595	Metabolite	Tolerance	0.9932729	0.9110182	0.9999042	0.9990149	0.001452778	73
Bergelson_Brachi_PNAS_2015_PID_25775585	G4MTB	595	Metabolite	Tolerance	0.9905861	0.9426593	0.9995681	0.9975369	0.002119931	137
Bergelson_Brachi_PNAS_2015_PID_25775585	G4P	595	Metabolite	Tolerance	0.9426656	0.5809755	0.9981227	0.9764766	0.0003027973	15
Bergelson_Brachi_PNAS_2015_PID_25775585	G5MSP	595	Metabolite	Tolerance	0.9804178	0.8938591	0.9987967	0.9936522	0.001772263	104
Bergelson_Brachi_PNAS_2015_PID_25775585	G5MTP	595	Metabolite	Tolerance	0.9999585	0.9993489	0.998031	0.9707572	0.002894671	190
Bergelson_Brachi_PNAS_2015_PID_25775585	G6MSH	595	Metabolite	Tolerance	0.3233816	0.3075444	0.09295138	0	0.000208635	1
Bergelson_Brachi_PNAS_2015_PID_25775585	G6MTH	595	Metabolite	Tolerance	0.3125015	0.2925219	0.03289377	0	6.812544e-05	1
Bergelson_Brachi_PNAS_2015_PID_25775585	G7MSH	595	Metabolite	Tolerance	0.866553	0.4724464	0.9860969	0	0.0005763976	2
Bergelson_Brachi_PNAS_2015_PID_25775585	G7MTH	595	Metabolite	Tolerance	0.8024199	0.4304095	0.8364586	0	1.758406e-05	2
Bergelson_Brachi_PNAS_2015_PID_25775585	G8MSO	595	Metabolite	Tolerance	0.9350067	0.3901104	0.9970888	0.9316003	0.0002598263	2
Bergelson_Brachi_PNAS_2015_PID_25775585	G8MTO	595	Metabolite	Tolerance	0.8048413	0.4247118	0.9987642	0	0.003158592	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU0_1	144	Microbiome	NA	0.6297601	0.3062625	0.9834453	0	0.0002624259	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU10_11	144	Microbiome	NA	0.9933366	0.9510268	0.9998892	0.9990753	0.0004600768	60
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU101_102	144	Microbiome	NA	0.788212	0.4027425	0.945823	0	2.398791e-05	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU1026_1027	144	Microbiome	NA	0.9028922	0.733728	0.9772241	0	0.001677879	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU1037_1038	144	Microbiome	NA	0.5789022	0.183163	0.9947837	0	0.000872359	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU104_105	144	Microbiome	NA	0.9591819	0.8569934	0.9413528	0	0.0007903677	2
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU1076_1077	144	Microbiome	NA	0.9999672	0.9998479	0.9709558	0.8540447	7.416983e-05	20
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU11_12	144	Microbiome	NA	0.785305	0.5063363	0.9878122	0	0.0001352635	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU110_111	144	Microbiome	NA	0.9027372	0.5339792	0.9706225	0	5.007256e-05	2
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU116_117	144	Microbiome	NA	0.9998036	0.9996804	0.8043137	0	2.514354e-05	4
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU12_13	144	Microbiome	NA	0.9999873	0.9999251	0.9738589	0.8567227	0.0007391986	93
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU125_126	144	Microbiome	NA	0.001146178	0.001002331	0.1137548	0	6.92296e-05	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU129_130	144	Microbiome	NA	0.81488	0.4996859	0.9967526	0	0.0004853731	2
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU15_16	144	Microbiome	NA	0.9999317	0.999116	0.9956789	0.9331606	0.0007331064	88
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU151_152	144	Microbiome	NA	0.9416636	0.7230905	0.9979179	0.9863767	0.0001029634	4
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU154_155	144	Microbiome	NA	0.9159269	0.6727474	0.98736	0	0.0006272787	2
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU157_158	144	Microbiome	NA	0.998796	0.9933627	0.9148912	0	9.150936e-05	3
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU159_160	144	Microbiome	NA	0.9997984	0.9990604	0.9568031	0.8243809	0.001109661	135
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU17_18	144	Microbiome	NA	0.9998935	0.9992139	0.990724	0.935856	0.001075908	130
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU1782_1783	144	Microbiome	NA	0.04235868	0.4200399	0.04585064	0	1.26635e-05	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU18_19	144	Microbiome	NA	0.6233221	0.3391047	0.9963455	0	1.730475e-05	2
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU190_191	144	Microbiome	NA	0.9998745	0.9986806	0.9758251	0.7630865	7.04937e-05	15
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU193_194	144	Microbiome	NA	0.9734004	0.7921474	0.998122	0.9832497	9.763075e-05	17
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU197_198	144	Microbiome	NA	0.02562443	0.02062776	0.7259592	0	2.190312e-05	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU199_200	144	Microbiome	NA	0.9697152	0.7597474	0.9871277	0.8881071	0.0001063615	10
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU200_201	144	Microbiome	NA	0.9996925	0.9987097	0.9892334	0.9515037	6.65015e-05	22
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU202_203	144	Microbiome	NA	0.6428358	0.3714988	0.9553291	0	0.001364108	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU2052_2053	144	Microbiome	NA	0.9998652	0.9992937	0.9806245	0.9003874	0.0001682831	22
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU219_220	144	Microbiome	NA	0.5622222	0.1825889	0.9887204	0	0.0009517576	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU22_23	144	Microbiome	NA	0.9999277	0.9997975	0.9996556	0.9993136	0.001563437	204
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU225_226	144	Microbiome	NA	0.9999964	0.9999784	0.9908974	0.9527545	0.001097776	128
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU2284_2285	144	Microbiome	NA	0.9996066	0.9988648	0.7937053	0	0.0002176131	2
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU233_234	144	Microbiome	NA	0.9999934	0.9999832	0.8797973	0.668481	4.542135e-05	13
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU2331_2332	144	Microbiome	NA	0.867697	0.5455103	0.9838438	0	0.00120268	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU243_244	144	Microbiome	NA	0.7151129	0.343554	0.9342043	0	0.0005402455	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU252_253	144	Microbiome	NA	0.7893403	0.4490115	0.9707295	0	0.0009911624	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU254_255	144	Microbiome	NA	0.9899087	0.8666089	0.9999198	0.9986922	0.0001541398	22
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU2561_2562	144	Microbiome	NA	0.8628077	0.6011192	0.9607199	0	0.001147292	2
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU26_27	144	Microbiome	NA	0.01218197	0.01452786	0.5556007	0	4.542642e-05	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU273_274	144	Microbiome	NA	0.8832584	0.4473427	0.9975552	0	3.395161e-05	3
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU278_279	144	Microbiome	NA	0.6479972	0.5321822	0.9536823	0	1.273242e-05	2
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU28_29	144	Microbiome	NA	0.8373272	0.5896792	0.9908926	0	0.0004603118	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU281_282	144	Microbiome	NA	0.9269548	0.6429389	0.9413105	0	0.0001135193	2
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU29_30	144	Microbiome	NA	0.5538253	0.1834337	0.9880115	0	0.0002960078	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU293_294	144	Microbiome	NA	0.03925796	0.02963623	0.2553126	0	0.0004064192	1
